"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"White","Female","Seattle Police Department","29","67.15","R","Active"
"Hispanic or Latino/a/x","Female","Neighborhoods","25","39.65","R","Active"
"Black or African American","Male","Seattle Department of Transportation","38","41.85","R","Active"
"Black or African American","Male","Construction and Inspections","40","69.58","R","Active"
"Asian","Male","Seattle Department of Transportation","54","70.35","R","Active"
"Black or African American","Male","Seattle Department of Transportation","55","44.08","R","Active"
"White","Male","Seattle Public Utilities","40","67.84","R","Leave with Pay"
"Two or More Races","Male","Seattle City Light","35","73.49","R","Active"
"Asian","Female","Information Technology","43","75.65","R","Active"
"White","Female","Seattle Public Library","53","73.11","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Library","29","51.99","R","Active"
"White","Male","Seattle Police Department","43","76.82","R","Active"
"White","Male","Seattle Department of Transportation","51","41.85","R","Active"
"White","Female","Law Department","32","39.18","R","Active"
"Asian","Male","Seattle Police Department","65","76.46","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Center","34","42.22","R","Active"
"White","Female","Intergovernmental Relations","55","82.09","R","Active"
"White","Male","Seattle City Light","38","67.30","R","Active"
"Asian","Male","Legislative Department","59","59.11","R","Active"
"White","Female","Parks and Recreation Department","63","55.19","R","Active"
"White","Female","Information Technology","64","84.52","R","Active"
"White","Male","Seattle City Light","46","77.36","R","Active"
"Two or More Races","Male","Seattle Police Department","29","76.46","R","Active"
"Asian","Female","Human Services","43","50.42","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","20","26.92","T","Active"
"White","Male","Finance and Administrative Service","61","58.39","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle Police Department","27","67.15","R","Active"
"White","Male","Seattle Fire Department","54","62.54","R","Active"
"Black or African American","Male","Parks and Recreation Department","46","26.92","T","Active"
"White","Male","Legislative Department","40","76.53","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Sustainability and Environment","33","51.24","R","Active"
"Two or More Races","Male","Seattle Center","57","45.05","T","Active"
"Asian","Male","Seattle Public Utilities","45","68.85","R","Active"
"White","Female","Seattle Public Library","35","36.27","R","Active"
"Two or More Races","Male","Seattle City Light","34","77.36","R","Active"
"Asian","Female","Neighborhoods","50","113.96","R","Leave with Pay"
"White","Female","Legislative Department","66","87.75","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","61","65.54","R","Active"
"White","Female","Parks and Recreation Department","35","55.19","R","Active"
"White","Female","Seattle Public Utilities","51","92.84","R","Active"
"White","Female","Seattle Police Department","65","62.90","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","29","37.95","R","Active"
"Asian","Female","Housing Office","64","41.31","R","Active"
"White","Female","Sustainability and Environment","38","76.84","R","Active"
"White","Female","City Budget Office","42","72.10","R","Active"
"White","Male","Seattle City Light","23","54.00","R","Active"
"White","Female","Finance and Administrative Service","66","55.96","R","Leave with Pay"
"Black or African American","Male","Seattle City Light","55","44.08","R","Active"
"Black or African American","Male","Sustainability and Environment","42","69.67","R","Active"
"White","Male","Seattle Public Utilities","40","55.76","R","Active"
"Two or More Races","Female","Parks and Recreation Department","36","65.54","R","Leave Of Absence"
"White","Male","Seattle Police Department","28","76.46","R","Active"
"White","Female","Seattle City Light","60","42.07","R","Active"
"Not Specified","Male","Seattle Police Department","34","76.46","R","Active"
"Not Specified","Male","Seattle City Light","40","87.02","R","Active"
"Asian","Female","Seattle Department of Transportation","31","65.46","R","Active"
"White","Female","Human Resources","43","94.62","R","Active"
"Asian","Female","Seattle City Light","51","58.41","R","Active"
"White","Male","Seattle City Light","59","46.63","R","Active"
"Black or African American","Male","Seattle Police Department","66","55.61","R","Active"
"White","Male","Seattle Department of Transportation","52","44.97","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","35","76.46","R","Active"
"White","Female","Seattle Police Department","29","76.46","R","Active"
"White","Female","Seattle Public Library","41","35.72","R","Active"
"White","Male","Seattle Police Department","50","114.47","R","Active"
"White","Male","Seattle Police Department","45","89.25","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Police Department","28","67.15","R","Active"
"Asian","Male","Seattle City Light","35","73.49","R","Active"
"White","Male","Seattle Police Department","60","76.09","R","Active"
"White","Male","Seattle Fire Department","48","60.36","R","Active"
"White","Female","Community Safety and Communication Center","39","46.21","R","Active"
"White","Male","Seattle City Light","52","87.02","R","Active"
"White","Male","Seattle Public Library","55","47.24","R","Active"
"White","Female","Finance and Administrative Service","48","145.04","R","Active"
"White","Female","Parks and Recreation Department","46","40.31","R","Active"
"White","Male","Information Technology","36","55.49","R","Active"
"White","Male","Parks and Recreation Department","71","26.92","T","Active"
"White","Female","Office of Arts and Culture","62","113.96","R","Active"
"White","Male","Seattle Municipal Courts","69","67.96","T","Active"
"Not Specified","Male","Parks and Recreation Department","27","34.32","R","Active"
"Asian","Female","Human Services","48","50.42","R","Active"
"Not Specified","Male","Seattle City Light","37","99.55","R","Active"
"White","Male","Seattle Center","46","38.84","R","Active"
"White","Male","Seattle Public Utilities","72","43.92","T","Active"
"Black or African American","Male","Seattle Fire Department","44","55.06","R","Active"
"Asian","Male","Seattle Fire Department","53","51.46","R","Active"
"Asian","Male","Seattle Department of Transportation","29","74.99","R","Active"
"White","Male","Seattle Police Department","43","76.46","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","29","60.07","R","Active"
"Asian","Male","Seattle Department of Transportation","55","69.98","R","Active"
"Asian","Female","Housing Office","63","96.25","R","Active"
"Asian","Female","Finance and Administrative Service","42","73.27","R","Active"
"White","Male","Seattle Public Utilities","56","94.12","R","Active"
"White","Male","Seattle Police Department","48","123.97","R","Active"
"Asian","Male","Seattle Public Utilities","47","68.13","R","Active"
"White","Male","Seattle Center","71","34.64","R","Active"
"White","Male","Parks and Recreation Department","36","46.53","R","Active"
"Black or African American","Male","Seattle Fire Department","27","48.88","R","Active"
"Asian","Male","Human Resources","32","60.75","R","Active"
"White","Male","Seattle Police Department","60","37.18","R","Active"
"White","Female","Human Services","55","64.14","R","Active"
"White","Male","Construction and Inspections","49","70.40","R","Active"
"White","Female","Community Safety and Communication Center","41","70.24","R","Active"
"White","Female","Seattle City Light","50","81.93","R","Active"
"White","Male","Seattle Public Utilities","40","51.16","R","Active"
"White","Male","Seattle Center","73","45.05","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","44","37.95","R","Active"
"Asian","Female","Seattle Public Utilities","22","29.46","T","Active"
"White","Female","Seattle City Light","57","69.56","R","Active"
"Two or More Races","Male","Construction and Inspections","55","58.95","R","Active"
"Black or African American","Female","Seattle Public Library","60","32.08","R","Active"
"Not Specified","Male","Seattle Department of Transportation","30","51.24","R","Active"
"White","Male","Seattle Public Library","27","35.72","R","Active"
"White","Male","Parks and Recreation Department","34","47.18","R","Active"
"White","Male","Seattle City Light","46","88.63","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Public Utilities","37","35.58","R","Leave with Pay"
"Two or More Races","Female","Seattle Public Utilities","61","51.97","R","Active"
"Black or African American","Female","Seattle City Light","50","79.11","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle Police Department","38","76.46","R","Active"
"White","Male","Seattle Public Utilities","36","51.16","R","Active"
"Asian","Female","Finance and Administrative Service","48","106.67","R","Active"
"White","Male","Seattle City Light","49","99.55","R","Active"
"Asian","Male","Parks and Recreation Department","48","58.51","R","Active"
"Asian","Male","Parks and Recreation Department","34","37.47","R","Active"
"Asian","Female","Seattle Public Utilities","54","83.47","R","Active"
"Not Specified","Male","Seattle Public Library","34","30.51","R","Active"
"Black or African American","Female","Seattle Department of Transportation","53","87.31","R","Active"
"Two or More Races","Female","Seattle Department of Transportation","59","55.19","R","Active"
"White","Male","Seattle Center","47","45.05","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","53","60.36","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","43","59.18","R","Active"
"Asian","Male","Information Technology","65","75.65","R","Active"
"White","Female","Parks and Recreation Department","36","45.64","R","Active"
"White","Female","Planning and Community Office","58","77.94","R","Active"
"White","Male","Community Safety and Communication Center","34","57.91","R","Active"
"Not Specified","Male","Seattle City Light","45","66.52","R","Active"
"Asian","Female","Parks and Recreation Department","63","85.57","R","Active"
